,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,265,31,225,4,4,200,4,132,200.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,125,31,85,4,4,60,8,132,60.0,"[0.0, 2.0, 8000.0, 100.0, 100.0, 0.5, 5000.0, 100.0, 100.0, 0.0002, 3333.333008, 100.0, 100.0, 0.0, 0.0]"
2,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,125,31,85,4,4,60,8,132,60.0,"[0.0, 2.0, 8000.0, 100.0, 100.0, 0.5, 5000.0, 100.0, 100.0, 0.0002, 3333.333008, 100.0, 100.0, 0.0, 0.0]"
3,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,73,31,33,4,4,8,9,132,8.0,"[0.0, 0.0]"
4,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,97,31,57,4,4,32,3,132,32.0,"[0.0, 0.001085, -0.000362, -0.001085, -0.001085, 711.089417, 0.0, 0.0]"
5,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,185,31,145,4,4,120,4,132,120.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,110,31,70,4,4,45,4,132,45.0,[]
7,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,189,31,149,4,4,124,4,132,124.0,"[0.0002, 3333.333008, 1000.0, 100.0, 50.0, 49.558701, 0.0, 0.285755, 3824.428467, 4741.73584, 9.192534, 32.162399, 47.025673, 2761.455322, 64.564697, 113.024452, 0.285254, 66.830452, 48.935745, 2658.489746, 28.828508, 49.558701, 3284.729492, 22.75308, 41.789001, 0.407793, 254.396286, 102.83345, 72.672203, 18.691847, 53.929466]"
8,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,69,31,29,4,4,4,4,132,4.0,[0.216835]
9,192.168.2.5,192.168.2.100,e0:dc:a0:e8:48:ea,30:b4:9e:78:ce:fe,71,265,31,225,4,4,200,4,132,200.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
